month,total_radiation,high_radiation,percentage
1,224034.82000000018,195123.55999999976,87.09519350608072
2,231686.1899999992,218474.7199999993,94.29768774737937
3,279413.4399999998,273972.8599999999,98.05285672729275
4,260929.18999999895,254211.86999999898,97.4256157388907
5,240430.56999999972,218443.91999999998,90.85530180292807
6,222496.83999999982,205310.72,92.275791422476
7,226119.78999999966,210292.58999999973,93.00052419118205
8,229471.57000000027,212817.15000000002,92.74227304062101
9,218665.0600000003,199174.5300000001,91.08658237397407
10,206502.56999999983,174549.07999999993,84.52634754134056
11,177111.5500000005,128007.03000000038,72.27480647083718
12,178735.05999999994,128307.64000000047,71.7864978477085
